343,だいず　［全粒・全粒製品］　いり大豆　青大豆,425,,,
344,だいず　［全粒・全粒製品］　いり大豆　黄大豆,429,,,
345,だいず　［全粒・全粒製品］　いり大豆　黒大豆,431,,,
346,だいず　［全粒・全粒製品］　水煮缶詰　黄大豆,124,,,
347,だいず　［全粒・全粒製品］　蒸し大豆　黄大豆,186,,,
348,だいず　［全粒・全粒製品］　きな粉　青大豆　全粒大豆,424,,,
349,だいず　［全粒・全粒製品］　きな粉　青大豆　脱皮大豆,418,,,
350,だいず　［全粒・全粒製品］　きな粉　黄大豆　全粒大豆,451,,,
351,だいず　［全粒・全粒製品］　きな粉　黄大豆　脱皮大豆,456,,,
352,だいず　［全粒・全粒製品］　きな粉（砂糖入り）　青きな粉,392,,,
353,だいず　［全粒・全粒製品］　きな粉（砂糖入り）　きな粉,406,,,
354,だいず　［全粒・全粒製品］　大豆はいが,404,,,
355,だいず　［全粒・全粒製品］　ぶどう豆,265,,,
356,だいず　［豆腐・油揚げ類］　木綿豆腐,73,,,
357,だいず　［豆腐・油揚げ類］　木綿豆腐　（凝固剤：塩化マグネシウム）,73,,,
358,だいず　［豆腐・油揚げ類］　木綿豆腐　（凝固剤：硫酸カルシウム）,73,,,
359,だいず　［豆腐・油揚げ類］　絹ごし豆腐,56,,,
360,だいず　［豆腐・油揚げ類］　絹ごし豆腐　（凝固剤：塩化マグネシウム）,56,,,
361,だいず　［豆腐・油揚げ類］　絹ごし豆腐　（凝固剤：硫酸カルシウム）,56,,,
362,だいず　［豆腐・油揚げ類］　ソフト豆腐,56,,,
363,だいず　［豆腐・油揚げ類］　充てん豆腐,56,,,
364,だいず　［豆腐・油揚げ類］　沖縄豆腐,99,,,
365,だいず　［豆腐・油揚げ類］　ゆし豆腐,47,,,
366,だいず　［豆腐・油揚げ類］　焼き豆腐,82,,,
367,だいず　［豆腐・油揚げ類］　生揚げ,143,,,
368,だいず　［豆腐・油揚げ類］　油揚げ　生,377,,,
369,だいず　［豆腐・油揚げ類］　油揚げ　油抜き　生,266,,,
370,だいず　［豆腐・油揚げ類］　油揚げ　油抜き　ゆで,164,,,
371,だいず　［豆腐・油揚げ類］　油揚げ　油抜き　焼き,361,,,
372,だいず　［豆腐・油揚げ類］　油揚げ　甘煮,231,,,
373,だいず　［豆腐・油揚げ類］　がんもどき,223,,,
374,だいず　［豆腐・油揚げ類］　凍り豆腐　乾,496,,,
375,だいず　［豆腐・油揚げ類］　凍り豆腐　水煮,104,,,
376,だいず　［豆腐・油揚げ類］　豆腐よう,183,,,
377,だいず　［豆腐・油揚げ類］　豆腐竹輪　蒸し,121,,,
378,だいず　［豆腐・油揚げ類］　豆腐竹輪　焼き,133,,,
379,だいず　［豆腐・油揚げ類］　ろくじょう豆腐,332,,,
380,だいず　［納豆類］　糸引き納豆,190,,,
381,だいず　［納豆類］　挽きわり納豆,185,,,
382,だいず　［納豆類］　五斗納豆,214,,,
383,だいず　［納豆類］　寺納豆,248,,,
384,だいず　［その他］　おから　生,88,,,
385,だいず　［その他］　おから　乾燥,333,,,
386,だいず　［その他］　豆乳　豆乳,44,,,
387,だいず　［その他］　豆乳　調製豆乳,63,,,
388,だいず　［その他］　豆乳　豆乳飲料・麦芽コーヒー,59,,,
389,だいず　［その他］　大豆たんぱく　粒状大豆たんぱく,318,,,
390,だいず　［その他］　大豆たんぱく　濃縮大豆たんぱく,313,,,
391,だいず　［その他］　大豆たんぱく　分離大豆たんぱく　塩分無調整タイプ,335,,,
392,だいず　［その他］　大豆たんぱく　分離大豆たんぱく　塩分調整タイプ,335,,,
393,だいず　［その他］　大豆たんぱく　繊維状大豆たんぱく,365,,,
394,だいず　［その他］　湯葉　生,218,,,
395,だいず　［その他］　湯葉　干し　乾,485,,,
396,だいず　［その他］　湯葉　干し　湯戻し,151,,,
397,だいず　［その他］　金山寺みそ,247,,,
398,だいず　［その他］　ひしおみそ,198,,,
399,だいず　［その他］　テンペ,180,,,
400,つるあずき　全粒　乾,297,,,
401,つるあずき　全粒　ゆで,132,,,
402,ひよこまめ　全粒　乾,336,,,
403,ひよこまめ　全粒　ゆで,149,,,
404,ひよこまめ　全粒　フライ　味付け,366,,,
405,べにばないんげん　全粒　乾,273,,,
406,べにばないんげん　全粒　ゆで,103,,,
407,やぶまめ　乾,383,,,
408,らいまめ　全粒　乾,306,,,
409,らいまめ　全粒　ゆで,122,,,
410,りょくとう　全粒　乾,319,,,
411,りょくとう　全粒　ゆで,125,,,
412,レンズまめ　全粒　乾,313,,,
413,レンズまめ　全粒　ゆで,149,,,
414,アーモンド　乾,609,,,
415,アーモンド　フライ　味付け,626,,,
416,アーモンド　いり　無塩,608,,,
417,あさ　乾,450,,,
418,あまに　いり,540,,,
419,えごま　乾,523,,,
420,カシューナッツ　フライ　味付け,591,,,
421,かぼちゃ　いり　味付け,590,,,
422,かや　いり,629,,,
423,ぎんなん　生,168,,,
424,ぎんなん　ゆで,169,,,
425,（くり類）　日本ぐり　生,147,,,
426,（くり類）　日本ぐり　ゆで,152,,,
427,（くり類）　日本ぐり　甘露煮,232,,,
428,（くり類）　中国ぐり　甘ぐり,207,,,
429,くるみ　いり,713,,,
430,けし　乾,555,,,
431,ココナッツ　ココナッツパウダー,676,,,
432,ごま　乾,604,,,
433,ごま　いり,605,,,
434,ごま　むき,570,,,
435,ごま　ねり,646,,,
436,しい　生,244,,,
437,すいか　いり　味付け,528,,,
438,チアシード　乾,446,,,
439,とち　蒸し,148,,,
440,はす　未熟　生,81,,,
441,はす　成熟　乾,327,,,
442,はす　成熟　ゆで,118,,,
443,（ひし類）　ひし　生,183,,,
444,（ひし類）　とうびし　生,122,,,
445,（ひし類）　とうびし　ゆで,120,,,
446,ピスタチオ　いり　味付け,617,,,
447,ひまわり　フライ　味付け,587,,,
449,ブラジルナッツ　フライ　味付け,703,,,
450,ヘーゼルナッツ　フライ　味付け,701,,,
452,ペカン　フライ　味付け,716,,,
453,マカダミアナッツ　いり　味付け,751,,,
454,まつ　生,681,,,
455,まつ　いり,724,,,
456,らっかせい　大粒種　乾,572,,,
457,らっかせい　大粒種　いり,613,,,
458,らっかせい　小粒種　乾,573,,,
